Library Folder,Symbol
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676_8_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""CAT3200"""
Regulator_SwitchedCapacitor.kicad_sym,"""CAT3200_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""CAT3200_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""CAT3200-5"""
Regulator_SwitchedCapacitor.kicad_sym,"""CAT3200-5_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""CAT3200-5_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2665M6"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2665M6_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2665M6_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2775DSG"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2775DSG_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2775DSG_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2776"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2776_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM2776_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM27761"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM27761_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM27761_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM27762"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM27762_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM27762_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM7705"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM7705_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LM7705_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LMC7660"""
Regulator_SwitchedCapacitor.kicad_sym,"""LMC7660_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LMC7660_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LT1054"""
Regulator_SwitchedCapacitor.kicad_sym,"""LT1054_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LT1054_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LT1054L"""
Regulator_SwitchedCapacitor.kicad_sym,"""LT1054xSW"""
Regulator_SwitchedCapacitor.kicad_sym,"""LT1054xSW_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LT1054xSW_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LTC1044"""
Regulator_SwitchedCapacitor.kicad_sym,"""LTC1044_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LTC1044_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LTC660"""
Regulator_SwitchedCapacitor.kicad_sym,"""LTC660_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""LTC660_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""MAX1044"""
Regulator_SwitchedCapacitor.kicad_sym,"""MAX1044_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""MAX1044_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""ICL7660"""
Regulator_SwitchedCapacitor.kicad_sym,"""RT9361AxE"""
Regulator_SwitchedCapacitor.kicad_sym,"""RT9361AxE_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""RT9361BxE"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60151DRV"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60151DRV_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60151DRV_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60500DGS"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60500DGS_0_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60500DGS_1_1"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60501DGS"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60502DGS"""
Regulator_SwitchedCapacitor.kicad_sym,"""TPS60503DGS"""
Driver_Haptic.kicad_sym,"""DRV2510-Q1"""
Driver_Haptic.kicad_sym,"""DRV2510-Q1_0_0"""
Driver_Haptic.kicad_sym,"""DRV2510-Q1_0_1"""
Driver_Haptic.kicad_sym,"""DRV2605LDGS"""
Driver_Haptic.kicad_sym,"""DRV2605LDGS_0_1"""
Driver_Haptic.kicad_sym,"""DRV2605LDGS_1_1"""
Sensor_Proximity.kicad_sym,"""BPR-205"""
Sensor_Proximity.kicad_sym,"""BPR-205_0_1"""
Sensor_Proximity.kicad_sym,"""BPR-205_1_1"""
Sensor_Proximity.kicad_sym,"""CNY70"""
Sensor_Proximity.kicad_sym,"""CNY70_0_1"""
Sensor_Proximity.kicad_sym,"""CNY70_1_1"""
Sensor_Proximity.kicad_sym,"""ITR1201SR10AR"""
Sensor_Proximity.kicad_sym,"""ITR1201SR10AR_0_1"""
Sensor_Proximity.kicad_sym,"""ITR1201SR10AR_1_1"""
Sensor_Proximity.kicad_sym,"""ITR8307-L24-TR8"""
Sensor_Proximity.kicad_sym,"""ITR8307-S17-TR8"""
Sensor_Proximity.kicad_sym,"""ITR8307"""
Sensor_Proximity.kicad_sym,"""ITR8307_0_1"""
Sensor_Proximity.kicad_sym,"""ITR8307_1_1"""
Sensor_Proximity.kicad_sym,"""BPR-105"""
Sensor_Proximity.kicad_sym,"""ITR8307-F43"""
Sensor_Proximity.kicad_sym,"""ITR8307-F43_0_1"""
Sensor_Proximity.kicad_sym,"""ITR8307-F43_1_1"""
